WTP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,PlayerA,PlayerB,Arank,Brank,Apts,Bpts,B365A,B365B
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Avanesyan E.,Bencic B.,134,12,522,2750,7.00,1.10
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Zhu L.,Davis L.,40,58,1175,931,3.00,1.40
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Marino R.,Shnaider S.,79,107,758,616,2.62,1.50
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Noskova L.,Kovinic D.,48,65,1050,852,1.72,2.10
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Garcia C.,Wang Xiy.,5,62,5025,909,1.36,3.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kanepi K.,Keys M.,76,20,768,1861,4.50,1.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Kalinina A.,Parry D.,25,77,1657,764,1.30,3.50
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Cristea S. ,Paolini J.,31,52,1327,1005,1.36,3.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Tsurenko L. ,Krejcikova B. ,63,13,883,2680,3.40,1.33
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Peterson R.,Ferro F. ,86,462,730,103,1.66,2.20
,Paris,French Open,29/5/2023,Grand Slam,Outdoor,Clay,1st Round,5,Day K.,Mladenovic K. ,138,165,509,420,1.20,4.50
,Paris,French Open,,Grand Slam,Outdoor,Clay,1st Round,5,Svitolina E. ,Trevisan M. ,508,26,87,1608,1.90,1.90
,Paris,French Open,,Grand Slam,Outdoor,Clay,1st Round,5,Putintseva Y. ,Zanevska M.,61,88,916,717,1.44,2.75
